"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.2,41,1013.7,6.6,10,19,26,52,42.8,0.06,NA,1,517
"94",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,43.6,35.7,1018.6,7.7,13.8,26,35.9,51.8,39.2,0.01,NA,0,649
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,44.4,39.7,1008.2,8.2,12.9,22.9,33,53.6,39,1.44,NA,1,555
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.1,38.4,1015.5,9.6,7.7,13,NA,55.9,39,0.09,NA,0,472
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,46.1,34.2,1026,10,8.1,11.1,NA,53.1,39,0,NA,0,603
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,46,40.5,1028.7,10,9.3,15.9,NA,53.1,37.9,0,NA,0,564
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,52.1,42.7,1021.9,8.3,11,17.1,22.9,60.1,44.1,0.03,NA,0,535
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.5,37.3,1028.1,10,8.8,17.1,24.1,54,35.1,0,NA,0,553
"101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,52.6,49.4,1018.1,4.6,12.5,19,29.9,59,46,0,NA,1,570
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,52.7,49.6,1012.4,3.6,15.2,25.1,39,57.2,46.9,0.62,NA,1,532
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.1,28.5,1029.4,10,11.7,15.9,22,48.9,39,0.24,NA,0,471
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,43,29.8,1037.8,10,11.3,20,25.1,50,34,0,NA,0,565
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,44.6,40,1026.9,5.1,15,22,28.9,46.4,42.1,0.11,NA,0,513
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,47.5,43.6,1012.9,7,19.2,28,36.9,52,44.6,1.77,NA,0,598
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,50.8,45.1,1017.9,7.2,10.4,15,20,55.9,45,0.01,NA,0,583
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,49.5,37.8,1026.9,9.5,6.5,12,NA,61,37.9,0.06,NA,0,675
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,46.6,34.7,1029.1,8.6,3.9,8,NA,55.9,35.1,0,NA,1,517
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,48,38.5,1027.1,9.8,3.9,8,NA,57,37,0,NA,0,440
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,49.7,37.9,1025.5,9.9,4.3,8.9,NA,59,39.9,0,NA,0,598
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,51,30.2,1026.2,10,5.2,11.1,NA,63,39.9,0,NA,0,576
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,49.9,41.4,1030.2,7.4,7,9.9,NA,60.8,39.9,0,NA,1,576
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,49.9,42,1030.3,9.5,5,14,20,62.1,37.9,0,NA,0,585
"115",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,46.9,39.7,1030,9.9,13.7,22.9,29.9,53.1,37.9,0,NA,0,686
"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,47.8,38.7,1026.5,10,13.7,22,31.1,54,43,0,NA,0,580
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,47.8,39.9,1025.3,9.7,10.1,15,20,55.9,42.1,0,NA,0,515
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,49.2,43.4,1024.3,5.1,5.5,8.9,NA,61,44.1,0,NA,1,561
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,54.4,49.9,1021.9,4.4,4.5,8,NA,66.9,46,0,NA,1,592
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,59.4,54.7,1021.5,7.5,10.5,15.9,22,72,53.1,0.01,NA,1,620
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,57.2,53.6,1015.2,5,6.2,14,NA,62.6,53.6,0.01,NA,1,602
"122",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,56.1,51,1014.8,5.7,8.3,13,NA,66,51.1,0,NA,1,698
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,56.2,53.1,1013.1,3.7,9.4,15.9,22.9,62.1,52,0,NA,1,523
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,56.2,53.1,1005.6,3.3,11,17.1,22.9,59,54,1.62,NA,1,527
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,53.1,37.1,1013.5,9.9,11.9,18.1,22,57,46,0.07,NA,0,577
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,51,35.3,1015.8,9.8,11.8,18.1,29.9,55.9,42.8,0,NA,0,565
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,53.1,44.5,1016.5,10,12.1,21,28,59,48,0.16,NA,0,532
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,57.7,50.1,1006.9,7.1,12.5,20,28,64.9,53.1,0.02,NA,0,559
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,58.2,43.9,1013.8,9.9,10.7,20,22.9,64,51.1,0,NA,0,741
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,54.6,45.2,1025.3,10,5.1,12,NA,64,44.1,0,NA,0,506
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,56.3,49.4,1027.4,9.3,6.6,12,NA,63,46.9,0,NA,0,544
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,57.5,54.5,1020.4,2.9,10.3,17.1,22,62.1,55,0.33,NA,1,657
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,58,55.5,1014.3,0.3,7.8,14,NA,61,55.4,0.24,NA,1,697
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,57.8,55.1,1013.8,2.5,7.1,13,17.1,64,53.1,0,NA,1,570
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,61.5,57.6,1015.1,3,13.3,18.1,24.1,66.9,57,0,NA,1,735
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,61,58.7,1009.8,2.1,14,27,39,64,57.2,1.24,NA,1,668
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,55.6,52.3,1005.9,4.6,7.6,15,18.1,61,51.8,1.03,NA,1,514
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,50.2,41.8,1010.9,9.3,13.9,19,28,57,44.6,0.54,NA,0,455
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,56.9,42.8,1020,10,14.1,20,26,64,51.1,0.01,NA,0,420
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,56.6,49.6,1023.2,9.9,6.4,11.1,NA,63,46.9,0,NA,0,686
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,57.9,54.7,1021,4.9,10.9,19,26,61,55.4,0.51,NA,0,574
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,60.9,56.2,1018.8,6.1,11.6,15,20,66.9,57.2,0.26,NA,0,685
"143",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,62,56.8,1018.5,6.7,9,13,NA,69.1,57,0.02,NA,0,736
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,60.9,57,1016.7,7,10.9,15,NA,66,57,0,NA,0,631
"145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,61.8,58.6,1013.6,4.6,12.6,18.1,26,66,57.9,0,NA,1,487
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,60.8,59.8,1012,2,12.7,19,27,63,59,0.21,NA,1,707
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,61.8,51,1012.5,7.5,8.7,15,NA,66,57.2,0.34,NA,1,613
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,58.6,45.6,1020.5,9.8,5.7,8.9,NA,68,48.9,0,NA,0,599
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,58.6,51,1022,10,7.5,14,NA,66,51.1,0,NA,0,605
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,62.3,59.6,1009.3,4.8,19.1,25.1,35,64.9,57,0.94,NA,1,571
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,63.6,57.2,1019.3,6.9,8.1,13,NA,72,53.1,0.01,NA,1,533
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,62.2,56.1,1021.3,9.3,6,8.9,NA,72,53.1,0,NA,0,624
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,60.8,59.5,1008.7,1.8,13.2,17.1,24.1,64.4,55.9,1.36,NA,1,635
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,64,55.9,1003.4,8.1,14,19,27,71.1,59,0.03,NA,0,615
